                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7075,                 1.6856,                 1.2401,                0.03602,                 0.5125,                0.09883,                0.04062,                 2.4676,                 3.5804,                 2.0037,             0.00056389,             0.00056389,             0.00056389
                     35,                 1.7518,                 1.7338,                  1.315,                 0.0388,                 0.6575,                0.23294,                0.08834,                 2.3421,                 3.5608,                 1.8914,             0.00057218,             0.00057218,             0.00057218
                     36,                 1.7901,                 1.7758,                 1.3095,                0.04712,                 0.7175,                0.27567,                0.10575,                 2.1895,                 3.4766,                  1.811,             0.00057998,             0.00057998,             0.00057998
                     37,                 1.8432,                 1.6921,                 1.3588,                0.04712,                 0.7175,                0.27567,                0.10575,                 2.1895,                 3.4766,                  1.811,             0.00058729,             0.00058729,             0.00058729
                     38,                 1.5621,                 1.6815,                 1.1937,                0.08273,                 0.7175,                0.31204,                0.13113,                 2.1899,                 3.2684,                 1.7906,             0.00059409,             0.00059409,             0.00059409
                     39,                 1.6292,                 1.6427,                 1.2282,                0.10485,                 0.7375,                0.23259,                 0.0857,                 2.3188,                 2.9712,                 1.8603,             0.00060041,             0.00060041,             0.00060041
                     40,                 1.5929,                 1.4798,                 1.2275,                0.10485,                 0.7375,                0.23259,                 0.0857,                 2.3188,                 2.9712,                 1.8603,             0.00060623,             0.00060623,             0.00060623
                     41,                 1.7429,                 1.7652,                 1.3851,                 0.6658,                0.16887,                0.25196,                0.08721,                 2.3866,                 2.7619,                 1.9236,             0.00061155,             0.00061155,             0.00061155
                     42,                  1.572,                 1.5546,                 1.2213,                0.65892,                   0.12,                0.24806,                0.08428,                 2.3479,                 2.7841,                 1.9356,             0.00061638,             0.00061638,             0.00061638
                     43,                 1.6583,                 1.6833,                 1.3054,                0.65892,                   0.12,                0.24806,                0.08428,                 2.3479,                 2.7841,                 1.9356,             0.00062071,             0.00062071,             0.00062071
                     44,                 1.6438,                 1.5965,                 1.2925,                0.56052,                 0.2825,                0.33993,                0.13569,                 2.3362,                 2.7235,                 1.8734,             0.00062455,             0.00062455,             0.00062455
                     45,                 1.6256,                 1.6315,                 1.2821,                0.56052,                 0.2825,                0.33993,                0.13569,                 2.3362,                 2.7235,                 1.8734,              0.0006279,              0.0006279,              0.0006279
                     46,                 1.7389,                 1.7081,                 1.3677,                0.66647,                0.38423,                0.56839,                0.19758,                 2.2892,                 2.5567,                  1.806,             0.00063074,             0.00063074,             0.00063074
                     47,                  1.565,                 1.4822,                 1.2447,                0.66647,                0.38423,                0.56839,                0.19758,                 2.2892,                 2.5567,                  1.806,              0.0006331,              0.0006331,              0.0006331
                     48,                 1.5776,                 1.5144,                 1.2406,                0.73402,                0.47141,                0.62686,                0.25617,                 2.1683,                 2.3992,                 1.6939,             0.00063496,             0.00063496,             0.00063496
                     49,                 1.6347,                 1.5764,                 1.2381,                0.73402,                0.47141,                0.62686,                0.25617,                 2.1683,                 2.3992,                 1.6939,             0.00063632,             0.00063632,             0.00063632
                     50,                 1.6568,                 1.4635,                 1.2725,                0.70274,                0.50873,                0.62184,                0.25467,                 2.1287,                 2.3655,                 1.6275,             0.00063719,             0.00063719,             0.00063719
                     51,                 1.6322,                 1.4731,                 1.2207,                0.70274,                0.50873,                0.62184,                0.25467,                 2.1287,                 2.3655,                 1.6275,             0.00063125,             0.00063125,             0.00063125
                     52,                 1.5004,                 1.4884,                 1.2799,                0.67297,                0.48634,                 0.6236,                0.25989,                 2.1496,                 2.3719,                 1.6184,             0.00061887,             0.00061887,             0.00061887
                     53,                  1.376,                  1.348,                 1.1856,                0.67297,                0.48634,                 0.6236,                0.25989,                 2.1496,                 2.3719,                 1.6184,              0.0006065,              0.0006065,              0.0006065
                     54,                 1.4912,                 1.3642,                 1.1451,                0.35406,                 0.3625,                0.51368,                 0.2054,                 2.2002,                 2.3964,                 1.6672,             0.00059413,             0.00059413,             0.00059413
                     55,                 1.5769,                 1.3764,                  1.217,                0.35406,                 0.3625,                0.51368,                 0.2054,                 2.2002,                 2.3964,                 1.6672,             0.00058175,             0.00058175,             0.00058175
                     56,                 1.4413,                 1.3357,                 1.1791,                  0.377,                0.41792,                0.39349,                0.15262,                 2.2942,                 2.3767,                 1.7801,             0.00056938,             0.00056938,             0.00056938
