                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     31,                 1.3128,                 1.0407,                 1.1117,                0.72445,                0.66183,                 0.7064,                0.41872,                 1.5378,                  1.248,                  1.275,             0.00063903,             0.00063903,             0.00063903
                     32,                  1.269,                 1.0294,                 1.1211,                0.76678,                 0.6408,                 0.7065,                0.40976,                 1.5329,                 1.2066,                 1.2697,             0.00063003,             0.00063003,             0.00063003
                     33,                 1.2354,                 1.0062,                 1.0989,                0.77023,                0.64572,                0.71954,                0.41195,                 1.5535,                 1.2178,                 1.2781,             0.00062103,             0.00062103,             0.00062103
                     34,                 1.2573,                 0.9987,                 1.1031,                0.77028,                0.65438,                0.72461,                0.41233,                 1.5669,                 1.2192,                 1.3088,             0.00061203,             0.00061203,             0.00061203
                     35,                 1.2619,                0.99636,                 1.1016,                0.81832,                0.63072,                0.72423,                0.42339,                 1.5224,                 1.1909,                 1.2579,             0.00060303,             0.00060303,             0.00060303
                     36,                  1.217,                0.99239,                 1.0953,                0.76295,                0.67174,                 0.7337,                0.42656,                 1.5294,                 1.1543,                 1.2641,             0.00059403,             0.00059403,             0.00059403
                     37,                 1.2295,                0.97672,                 1.0985,                0.80179,                0.66026,                0.73298,                0.43554,                 1.5303,                 1.1431,                 1.2558,             0.00058503,             0.00058503,             0.00058503
                     38,                 1.2375,                0.97168,                 1.0888,                0.83055,                0.69259,                0.75731,                0.45338,                 1.5058,                 1.1123,                 1.2482,             0.00057603,             0.00057603,             0.00057603
                     39,                 1.2329,                0.95621,                 1.0869,                0.78193,                0.66433,                0.74779,                0.45709,                 1.4896,                 1.1508,                 1.2485,             0.00056703,             0.00056703,             0.00056703
                     40,                  1.222,                0.94534,                 1.0902,                0.78892,                0.68241,                0.74414,                0.45492,                 1.5027,                 1.1603,                 1.2449,             0.00055804,             0.00055804,             0.00055804
                     41,                 1.2088,                0.92945,                 1.0779,                0.75843,                0.65227,                0.70479,                0.41277,                 1.5384,                 1.2018,                 1.2595,             0.00054904,             0.00054904,             0.00054904
                     42,                 1.1921,                0.93695,                 1.0792,                 0.7553,                0.68808,                0.71893,                0.43308,                 1.5053,                 1.1404,                 1.2585,             0.00054004,             0.00054004,             0.00054004
                     43,                 1.2094,                0.94158,                 1.0805,                0.78263,                0.65501,                0.75152,                0.43771,                 1.5154,                 1.1356,                 1.2486,             0.00053104,             0.00053104,             0.00053104
                     44,                 1.1804,                0.89173,                 1.0689,                0.78198,                 0.6498,                0.72304,                0.42043,                 1.5423,                 1.1952,                 1.2661,             0.00052204,             0.00052204,             0.00052204
                     45,                 1.1971,                0.90499,                 1.0766,                 0.7835,                0.64881,                0.72959,                0.43494,                 1.5192,                 1.1402,                 1.2636,             0.00051304,             0.00051304,             0.00051304
                     46,                 1.2333,                0.91997,                 1.0819,                 0.7772,                0.69927,                0.74402,                0.43593,                 1.5286,                  1.118,                 1.2747,             0.00050404,             0.00050404,             0.00050404
                     47,                 1.1551,                0.88297,                 1.0525,                0.78026,                0.68808,                0.75046,                0.45466,                 1.4769,                  1.089,                 1.2499,             0.00049504,             0.00049504,             0.00049504
                     48,                 1.1724,                 0.8755,                 1.0633,                  0.744,                0.70753,                0.75875,                0.44977,                  1.514,                 1.1315,                 1.2616,             0.00048604,             0.00048604,             0.00048604
                     49,                 1.1695,                0.86368,                 1.0624,                0.77976,                0.67648,                0.74627,                0.45172,                 1.4973,                 1.0967,                 1.2716,             0.00047704,             0.00047704,             0.00047704
                     50,                 1.1586,                0.87856,                 1.0626,                0.71983,                0.68313,                0.72879,                0.43468,                 1.5082,                 1.1379,                 1.2489,             0.00046804,             0.00046804,             0.00046804
                     51,                 1.1639,                0.84614,                   1.06,                0.79311,                0.65084,                  0.747,                0.45096,                 1.5136,                 1.1066,                 1.2628,             0.00045904,             0.00045904,             0.00045904
                     52,                 1.1923,                0.85115,                 1.0652,                 0.8067,                0.64753,                0.71927,                0.42957,                 1.5161,                 1.1671,                 1.2689,             0.00045005,             0.00045005,             0.00045005
                     53,                 1.1409,                0.82376,                 1.0482,                0.82501,                0.65686,                0.74164,                0.44063,                 1.5069,                 1.1155,                  1.256,             0.00044105,             0.00044105,             0.00044105
                     54,                 1.1486,                0.83308,                 1.0531,                0.75977,                 0.6703,                0.72175,                0.41926,                 1.5408,                   1.14,                 1.2762,             0.00043205,             0.00043205,             0.00043205
                     55,                 1.1471,                 0.8166,                 1.0553,                0.79906,                0.62558,                0.73123,                  0.435,                 1.5134,                 1.1071,                 1.2598,             0.00042305,             0.00042305,             0.00042305
                     56,                 1.1239,                0.80852,                 1.0437,                0.77089,                0.70144,                0.74871,                0.44004,                 1.5045,                  1.069,                 1.2489,             0.00041405,             0.00041405,             0.00041405
                     57,                 1.1358,                0.82252,                 1.0512,                0.81668,                0.65739,                0.74295,                 0.4428,                 1.5243,                 1.0877,                 1.2584,             0.00040505,             0.00040505,             0.00040505
                     58,                 1.1549,                0.82684,                 1.0483,                0.80684,                0.68023,                0.73755,                 0.4335,                 1.5199,                  1.067,                 1.2677,             0.00039605,             0.00039605,             0.00039605
                     59,                 1.1186,                 0.7989,                 1.0489,                0.79635,                0.68075,                0.74645,                0.44772,                 1.5074,                 1.1124,                 1.2626,             0.00038705,             0.00038705,             0.00038705
                     60,                 1.1382,                0.79609,                 1.0499,                0.82769,                0.64763,                0.73005,                0.42905,                 1.5193,                 1.0906,                 1.2613,             0.00037805,             0.00037805,             0.00037805
                     61,                 1.1122,                0.78141,                  1.041,                 0.8439,                0.66999,                0.75255,                0.44429,                 1.5267,                 1.0971,                 1.2689,             0.00036905,             0.00036905,             0.00036905
                     62,                 1.1011,                0.76961,                 1.0278,                0.81623,                0.67991,                 0.7541,                 0.4466,                 1.5056,                 1.1046,                 1.2564,             0.00036005,             0.00036005,             0.00036005
