                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5495,                 3.8379,                 1.3172,                0.01277,                0.41265,                 0.0592,                  0.032,                 1.5041,                 3.7827,                 1.2057,             0.00024543,             0.00024543,             0.00024543
                      2,                 1.6154,                 2.6058,                 1.2658,                0.30672,                0.06676,                0.20805,                0.11188,                 1.5817,                 3.2855,                 1.2853,               0.000495,               0.000495,               0.000495
                      3,                 1.6012,                 2.1583,                 1.2683,                0.31213,                0.26334,                0.24372,                0.13154,                 1.6423,                 2.6744,                 1.2928,             0.00073953,             0.00073953,             0.00073953
                      4,                 1.5822,                 2.0364,                 1.2677,                0.36278,                0.37254,                0.33661,                 0.1874,                 1.6229,                 2.3606,                 1.3015,               0.000882,               0.000882,               0.000882
                      5,                 1.5471,                 1.9139,                 1.2505,                0.43389,                0.46339,                0.42226,                0.21584,                 1.6753,                 2.1364,                 1.3451,               0.000873,               0.000873,               0.000873
                      6,                 1.5092,                 1.8026,                  1.256,                0.45085,                0.44708,                 0.4353,                0.22275,                 1.6649,                 2.1612,                 1.3735,               0.000864,               0.000864,               0.000864
                      7,                 1.4766,                 1.7177,                 1.2287,                0.59993,                0.49817,                0.54023,                0.29776,                 1.6231,                 1.7402,                 1.3272,             0.00085501,             0.00085501,             0.00085501
                      8,                 1.4564,                 1.6142,                 1.2078,                0.51831,                0.56228,                0.53176,                0.29696,                  1.634,                 1.7521,                 1.3476,             0.00084601,             0.00084601,             0.00084601
                      9,                 1.4602,                 1.5597,                 1.2016,                0.56866,                0.46386,                0.46965,                0.25643,                 1.6272,                 1.8461,                 1.3583,             0.00083701,             0.00083701,             0.00083701
                     10,                 1.4712,                  1.531,                 1.2051,                0.57273,                0.50513,                0.49889,                0.27405,                 1.5854,                 1.8783,                 1.3131,             0.00082801,             0.00082801,             0.00082801
                     11,                  1.428,                 1.5508,                 1.2085,                0.60237,                0.61112,                0.59361,                 0.3368,                 1.5883,                 1.6123,                 1.3128,             0.00081901,             0.00081901,             0.00081901
                     12,                 1.4237,                 1.4423,                 1.1982,                0.62651,                0.60003,                0.59539,                0.33206,                 1.5787,                 1.6065,                  1.293,             0.00081001,             0.00081001,             0.00081001
                     13,                 1.4374,                 1.4283,                 1.1946,                0.59764,                0.54907,                0.55658,                0.30906,                 1.5667,                 1.5583,                 1.2925,             0.00080101,             0.00080101,             0.00080101
                     14,                 1.4303,                 1.3811,                 1.1835,                0.58965,                0.59259,                0.60323,                0.34964,                 1.5497,                 1.5946,                 1.2822,             0.00079201,             0.00079201,             0.00079201
                     15,                 1.3931,                 1.3412,                 1.1676,                0.68045,                0.59271,                0.65985,                0.37184,                 1.5313,                 1.4515,                 1.2833,             0.00078301,             0.00078301,             0.00078301
                     16,                 1.3967,                 1.3093,                  1.161,                0.64781,                0.59919,                0.61807,                0.34873,                 1.5403,                 1.5858,                 1.3103,             0.00077401,             0.00077401,             0.00077401
                     17,                 1.3638,                 1.3604,                 1.1639,                0.74997,                0.60491,                0.67734,                 0.3997,                 1.5505,                 1.3937,                 1.2911,             0.00076501,             0.00076501,             0.00076501
                     18,                 1.3572,                 1.2589,                 1.1626,                0.73047,                  0.627,                0.67769,                0.38824,                 1.5765,                 1.3995,                 1.2973,             0.00075602,             0.00075602,             0.00075602
                     19,                  1.349,                 1.2382,                 1.1408,                0.71456,                0.62152,                0.65069,                 0.3727,                 1.5491,                 1.3742,                  1.279,             0.00074702,             0.00074702,             0.00074702
                     20,                 1.3516,                 1.2523,                 1.1668,                0.67987,                0.65104,                0.66604,                0.38088,                   1.55,                 1.3802,                 1.2988,             0.00073802,             0.00073802,             0.00073802
                     21,                  1.345,                 1.1817,                 1.1446,                0.68941,                0.64917,                0.69684,                0.40101,                 1.5529,                 1.3687,                  1.288,             0.00072902,             0.00072902,             0.00072902
                     22,                 1.3182,                 1.1582,                 1.1362,                0.70468,                0.61833,                0.67873,                0.38994,                 1.5406,                 1.3166,                 1.2788,             0.00072002,             0.00072002,             0.00072002
                     23,                 1.3194,                 1.1669,                 1.1608,                0.70566,                0.61251,                0.70085,                0.40838,                  1.538,                 1.3131,                 1.2669,             0.00071102,             0.00071102,             0.00071102
                     24,                 1.3418,                 1.1528,                 1.1424,                0.72528,                0.62433,                0.68978,                0.40819,                 1.5443,                 1.3596,                 1.2798,             0.00070202,             0.00070202,             0.00070202
                     25,                 1.3164,                 1.1497,                 1.1306,                 0.7553,                0.62608,                0.70352,                0.40504,                 1.5407,                 1.2715,                 1.2672,             0.00069302,             0.00069302,             0.00069302
                     26,                 1.3108,                  1.131,                 1.1169,                0.73938,                0.63458,                0.68816,                0.41246,                 1.4977,                    1.3,                 1.2626,             0.00068402,             0.00068402,             0.00068402
                     27,                 1.3025,                 1.0788,                 1.1188,                0.77272,                0.66219,                0.72355,                0.43845,                 1.5144,                 1.2147,                 1.2536,             0.00067502,             0.00067502,             0.00067502
                     28,                  1.293,                 1.0684,                 1.1137,                0.75195,                  0.634,                0.69417,                0.39752,                 1.5675,                 1.2448,                 1.2836,             0.00066602,             0.00066602,             0.00066602
                     29,                 1.3048,                 1.0967,                 1.1127,                0.74123,                0.61494,                0.68251,                0.39445,                 1.5692,                 1.3633,                 1.2743,             0.00065703,             0.00065703,             0.00065703
                     30,                 1.2555,                 1.0518,                 1.1143,                0.69613,                0.67109,                0.71299,                0.41676,                 1.5096,                  1.222,                 1.2491,             0.00064803,             0.00064803,             0.00064803
