                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5495,                 3.8379,                 1.3172,                0.01277,                0.41265,                 0.0592,                  0.032,                 1.5041,                 3.7827,                 1.2057,             0.00024543,             0.00024543,             0.00024543
                      2,                 1.6148,                 2.6085,                 1.2673,                0.33177,                0.10538,                0.23022,                0.12041,                 1.5828,                 3.1375,                 1.2573,             0.00049005,             0.00049005,             0.00049005
                      3,                 1.5987,                 2.1545,                 1.2617,                0.30312,                0.22854,                0.22811,                0.11989,                 1.6422,                 2.7469,                 1.3108,             0.00072459,             0.00072459,             0.00072459
                      4,                  1.567,                 2.0256,                 1.2597,                0.35736,                0.38292,                0.33376,                0.18226,                 1.6327,                 2.4014,                 1.3248,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.5445,                 1.9087,                 1.2428,                0.45444,                0.41865,                 0.3885,                0.20816,                 1.6477,                  2.181,                 1.3372,             0.00083701,             0.00083701,             0.00083701
                      6,                 1.5041,                 1.7985,                 1.2479,                0.46168,                0.42472,                0.43315,                0.20923,                 1.6674,                 2.1753,                 1.3491,             0.00081901,             0.00081901,             0.00081901
                      7,                 1.4773,                 1.7035,                 1.2205,                0.54349,                0.49107,                0.47108,                0.24855,                 1.6155,                 1.9948,                 1.3408,             0.00080101,             0.00080101,             0.00080101
                      8,                 1.4421,                 1.5977,                 1.1999,                0.64578,                0.47173,                 0.5556,                0.29722,                 1.5938,                 1.7485,                  1.314,             0.00078301,             0.00078301,             0.00078301
                      9,                 1.4526,                 1.5222,                 1.1974,                0.56509,                0.52289,                0.54264,                0.30272,                 1.5859,                   1.72,                 1.3285,             0.00076501,             0.00076501,             0.00076501
                     10,                 1.4438,                 1.4801,                 1.1845,                0.51651,                0.54773,                0.53509,                  0.304,                 1.5709,                 1.7473,                 1.3096,             0.00074702,             0.00074702,             0.00074702
                     11,                 1.4138,                 1.5086,                 1.1973,                0.58644,                0.54315,                0.58633,                0.34004,                 1.5707,                 1.6906,                 1.3063,             0.00072902,             0.00072902,             0.00072902
                     12,                 1.3995,                 1.4223,                  1.186,                0.63652,                0.58081,                0.61664,                 0.3433,                 1.5399,                 1.5166,                 1.2715,             0.00071102,             0.00071102,             0.00071102
                     13,                  1.439,                  1.406,                 1.1918,                0.68624,                0.60415,                0.64742,                 0.3678,                  1.533,                 1.4646,                 1.2697,             0.00069302,             0.00069302,             0.00069302
                     14,                 1.4084,                 1.3602,                  1.171,                0.68365,                0.57712,                0.64767,                0.38341,                 1.5259,                 1.5015,                 1.2738,             0.00067502,             0.00067502,             0.00067502
                     15,                 1.3808,                 1.3059,                 1.1617,                0.68486,                0.62315,                0.68861,                0.39204,                  1.528,                 1.4243,                 1.2818,             0.00065703,             0.00065703,             0.00065703
                     16,                 1.3748,                 1.2698,                 1.1548,                0.68651,                0.61065,                0.63388,                0.36428,                 1.5341,                 1.5327,                 1.2997,             0.00063903,             0.00063903,             0.00063903
                     17,                 1.3689,                 1.3064,                 1.1592,                0.73566,                0.67932,                0.70671,                0.40894,                 1.5514,                 1.3447,                 1.2729,             0.00062103,             0.00062103,             0.00062103
                     18,                 1.3366,                 1.2382,                 1.1506,                0.74015,                0.60094,                0.67432,                0.38076,                 1.5359,                 1.4186,                 1.2646,             0.00060303,             0.00060303,             0.00060303
                     19,                 1.3334,                  1.208,                 1.1322,                0.73848,                0.62137,                0.67995,                 0.3901,                  1.525,                 1.3612,                 1.2537,             0.00058503,             0.00058503,             0.00058503
                     20,                 1.3256,                 1.2124,                 1.1484,                0.68794,                0.64021,                0.67793,                0.39953,                  1.515,                 1.3391,                 1.2629,             0.00056703,             0.00056703,             0.00056703
                     21,                 1.3185,                 1.1472,                 1.1261,                0.75954,                0.60233,                0.68594,                0.39279,                 1.5463,                 1.3925,                 1.2863,             0.00054904,             0.00054904,             0.00054904
                     22,                 1.2791,                 1.1188,                 1.1211,                0.73297,                0.67075,                0.73004,                0.43385,                  1.522,                 1.2629,                 1.2608,             0.00053104,             0.00053104,             0.00053104
