                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.3005,                 1.1307,                 1.1484,                0.71254,                0.66891,                0.73481,                0.43304,                 1.5141,                 1.2859,                 1.2575,             0.00051304,             0.00051304,             0.00051304
                     24,                 1.3242,                 1.1273,                 1.1305,                0.73843,                  0.655,                0.71191,                0.41425,                 1.5334,                 1.3467,                 1.2585,             0.00049504,             0.00049504,             0.00049504
                     25,                 1.2808,                 1.1046,                  1.116,                0.75377,                0.63945,                0.72614,                0.41708,                 1.5041,                 1.2644,                  1.257,             0.00047704,             0.00047704,             0.00047704
                     26,                 1.2643,                 1.0831,                 1.0993,                0.73558,                0.66947,                0.73354,                 0.4337,                 1.4641,                 1.1973,                 1.2254,             0.00045904,             0.00045904,             0.00045904
                     27,                 1.2568,                 1.0367,                 1.0965,                 0.7801,                0.66565,                0.72272,                0.43407,                 1.4914,                 1.2252,                 1.2356,             0.00044105,             0.00044105,             0.00044105
                     28,                 1.2574,                 1.0324,                    1.1,                0.73453,                0.68339,                 0.7149,                0.42503,                 1.4894,                 1.2613,                 1.2539,             0.00042305,             0.00042305,             0.00042305
                     29,                 1.2788,                 1.0621,                 1.1042,                0.71653,                0.69375,                0.73361,                0.43524,                 1.5033,                 1.1994,                 1.2393,             0.00040505,             0.00040505,             0.00040505
                     30,                 1.2224,                 1.0275,                 1.0959,                0.77184,                0.67211,                0.72958,                0.43432,                 1.4687,                 1.2691,                 1.2211,             0.00038705,             0.00038705,             0.00038705
                     31,                 1.2657,                 1.0041,                 1.0944,                0.73451,                0.69435,                0.72686,                0.42884,                   1.48,                  1.216,                 1.2329,             0.00036905,             0.00036905,             0.00036905
                     32,                 1.2307,                 1.0025,                 1.1032,                0.75137,                0.66052,                0.72726,                0.43914,                  1.489,                 1.1891,                 1.2281,             0.00035106,             0.00035106,             0.00035106
                     33,                 1.1989,                0.97567,                 1.0799,                0.70398,                0.68116,                0.69695,                0.41864,                 1.4985,                 1.2317,                 1.2409,             0.00033306,             0.00033306,             0.00033306
                     34,                 1.2075,                0.94858,                 1.0825,                0.79514,                0.64774,                0.73055,                0.43497,                 1.4993,                 1.1839,                 1.2562,             0.00031506,             0.00031506,             0.00031506
                     35,                 1.2183,                 0.9417,                 1.0815,                0.76855,                0.68867,                0.75054,                0.44779,                 1.4882,                 1.1583,                 1.2346,             0.00029706,             0.00029706,             0.00029706
                     36,                  1.171,                 0.9369,                 1.0713,                0.80565,                0.69243,                0.75466,                0.45454,                 1.4818,                 1.1046,                 1.2353,             0.00027906,             0.00027906,             0.00027906
                     37,                 1.1741,                0.92638,                 1.0732,                 0.8107,                0.70841,                0.74699,                0.44917,                 1.4793,                 1.1129,                 1.2364,             0.00026106,             0.00026106,             0.00026106
                     38,                 1.1913,                 0.9226,                  1.063,                0.76996,                 0.6995,                0.73423,                0.44196,                  1.488,                 1.1295,                 1.2441,             0.00024307,             0.00024307,             0.00024307
                     39,                 1.1943,                0.90615,                 1.0686,                0.78768,                0.70239,                0.74635,                0.45269,                 1.4727,                  1.118,                 1.2316,             0.00022507,             0.00022507,             0.00022507
                     40,                 1.1688,                0.89487,                  1.065,                0.78208,                0.72247,                0.75964,                0.46426,                 1.4572,                 1.1368,                 1.2206,             0.00020707,             0.00020707,             0.00020707
                     41,                 1.1415,                0.93468,                  1.046,                0.76916,                0.71569,                0.76521,                 0.4657,                 1.4935,                 1.1781,                 1.2389,             0.00018907,             0.00018907,             0.00018907
                     42,                 1.1021,                 0.8741,                 1.0318,                0.77653,                0.70643,                0.75216,                0.44565,                 1.4906,                 1.1507,                  1.244,             0.00017107,             0.00017107,             0.00017107
                     43,                 1.1052,                0.85867,                 1.0293,                0.74168,                0.72116,                0.74236,                0.43597,                 1.4924,                 1.1691,                 1.2518,             0.00015308,             0.00015308,             0.00015308
                     44,                 1.0834,                0.81403,                 1.0127,                0.79021,                0.71461,                0.74746,                0.44654,                 1.4577,                 1.1489,                 1.2361,             0.00013508,             0.00013508,             0.00013508
                     45,                 1.0852,                0.83572,                 1.0208,                0.77259,                0.71927,                 0.7471,                0.44506,                 1.4592,                 1.1245,                 1.2317,             0.00011708,             0.00011708,             0.00011708
                     46,                 1.0793,                0.80863,                 1.0196,                0.76671,                0.69954,                0.75679,                 0.4612,                 1.4476,                 1.1119,                 1.2189,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     47,                 1.0849,                0.80395,                 1.0169,                0.78729,                0.71283,                0.75511,                0.45373,                 1.4643,                 1.1246,                 1.2331,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     48,                 1.0501,                0.81373,                 1.0033,                 0.7649,                0.72117,                0.76056,                0.45737,                 1.4647,                 1.1087,                 1.2321,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     49,                 1.0765,                0.78128,                 1.0209,                0.77665,                0.72066,                0.76523,                0.46269,                 1.4591,                 1.0863,                 1.2228,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     50,                 1.0493,                0.77597,                 1.0086,                0.77449,                0.72482,                 0.7626,                0.46093,                 1.4631,                 1.0797,                 1.2255,             2.7088e-05,             2.7088e-05,             2.7088e-05
